epoch,step,train_loss,valid_loss,valid_rate,learning_rate
0,13,87.19676971435547,92.76982116699219,95.3125,9.7e-06
1,13,85.52775573730469,89.42379924229213,96.875,9.409e-06
2,13,88.1550064086914,87.86944689069476,100.0,9.126729999999999e-06
3,13,80.64755249023438,87.13062340872628,96.875,8.8529281e-06
4,13,82.69725799560547,86.71863174438477,96.875,8.587340256999999e-06
5,13,79.04785919189453,86.50279726300921,98.4375,8.329720049289998e-06
6,13,82.38456726074219,86.34118706839425,95.3125,8.079828447811298e-06
7,13,77.29146575927734,86.2480948311942,100.0,7.837433594376959e-06
8,13,69.1380844116211,86.18237141200474,98.4375,7.602310586545649e-06
9,13,78.69287872314453,86.12401635306222,98.4375,7.37424126894928e-06
10,13,68.19961547851562,86.09632928030831,96.875,7.153014030880801e-06
11,13,76.8996810913086,86.07324981689453,95.3125,6.9384236099543765e-06
12,13,70.23251342773438,86.05209732055664,100.0,6.730270901655745e-06
13,13,74.94206237792969,86.03440366472516,98.4375,6.528362774606072e-06
14,13,68.73316192626953,86.04208265032086,95.3125,6.33251189136789e-06
15,13,70.38011932373047,86.03612518310547,98.4375,6.142536534626853e-06
16,13,75.32329559326172,86.0292467389788,96.875,5.958260438588048e-06
17,13,72.70625305175781,86.04645592825753,95.3125,5.779512625430406e-06
18,13,71.56075286865234,86.03846904209682,96.875,5.606127246667494e-06
19,13,69.04269409179688,86.0494030543736,98.4375,5.437943429267468e-06
20,13,67.3896255493164,86.0737887791225,95.3125,5.274805126389444e-06
21,13,66.90057373046875,86.08700942993164,96.875,5.11656097259776e-06
22,13,67.40218353271484,86.08502687726703,96.875,4.963064143419828e-06
23,13,63.6601448059082,86.10862731933594,98.4375,4.8141722191172325e-06
