epoch,step,train_loss,valid_loss,valid_rate,learning_rate
0,13,419.3019714355469,409.4733668736049,0.0,0.0019399999999999999
1,13,358.5819396972656,348.71348353794644,0.0,0.0018817999999999999
2,13,261.1840515136719,262.3243201119559,0.0,0.0018253459999999998
3,13,241.95864868164062,232.7533460344587,0.0,0.0017705856199999998
4,13,223.0813446044922,219.22291455950057,0.0,0.0017174680513999997
5,13,206.28009033203125,207.74714006696428,0.0,0.0016659440098579998
6,13,190.9173583984375,199.26762499128068,3.125,0.0016159656895622597
7,13,193.13536071777344,194.39552089146204,0.0,0.0015674867188753918
8,13,199.94044494628906,191.99018750871932,9.375,0.00152046211730913
9,13,170.27880859375,188.9433114188058,0.0,0.001474848253789856
10,13,182.96580505371094,186.40259987967355,1.5625,0.0014306028061761603
11,13,182.0800323486328,184.9420645577567,1.5625,0.0013876847219908754
12,13,175.7872772216797,182.71285356794084,1.5625,0.001346054180331149
13,13,167.5761260986328,181.69845690046037,7.8125,0.0013056725549212146
14,13,175.73455810546875,179.28250122070312,6.25,0.0012665023782735781
15,13,180.51202392578125,178.837406703404,10.9375,0.0012285073069253707
16,13,173.98333740234375,177.04697636195593,9.375,0.0011916520877176095
17,13,166.9529571533203,175.69587053571428,1.5625,0.0011559025250860813
18,13,181.0572967529297,176.2608686174665,10.9375,0.0011212254493334988
19,13,168.8485107421875,174.1627676827567,9.375,0.0010875886858534938
20,13,172.18971252441406,172.39901842389787,12.5,0.001054961025277889
21,13,167.84315490722656,171.27928052629744,9.375,0.0010233121945195523
22,13,173.3745880126953,170.65590449741907,14.0625,0.0009926128286839658
23,13,158.87295532226562,169.78092520577567,17.1875,0.0009628344438234467
24,13,174.47244262695312,168.62422943115234,23.4375,0.0009339494105087433
25,13,168.4339141845703,168.9899400983538,7.8125,0.000905930928193481
26,13,161.90968322753906,167.40219225202287,18.75,0.0008787530003476764
27,13,165.7503204345703,166.51407841273718,14.0625,0.0008523904103372461
28,13,160.23097229003906,165.992064339774,10.9375,0.0008268186980271287
29,13,168.6584014892578,165.37272753034318,9.375,0.0008020141370863148
30,13,154.22235107421875,163.75309317452567,10.9375,0.0007779537129737254
